ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11366853,JB331977,07-02-2018 12:41,043XX W JACKSON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1131,11,28,26,18,1147419,1898331,2018,07-09-2018 16:19,41.87697998,-87.73418787,"(41.876979979, -87.734187868)"
11366863,JB332037,07-02-2018 12:30,019XX S ST LOUIS AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,TRUE,FALSE,1024,10,24,29,11,1153404,1890300,2018,07-09-2018 16:19,41.85482527,-87.71242585,"(41.854825273, -87.712425854)"
11366867,JB332019,07-02-2018 12:46,005XX W 115TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,TRUE,FALSE,2233,22,34,49,26,1174585,1828632,2018,07-09-2018 16:19,41.68515459,-87.63651659,"(41.685154594, -87.636516591)"
11366876,JB331821,07-02-2018 11:07,042XX N LINCOLN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,1911,19,47,5,08B,1161505,1928056,2018,07-09-2018 16:19,41.95826599,-87.68163877,"(41.958265994, -87.681638768)"
11366882,JB332067,07-02-2018 11:15,018XX E 71ST ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,332,3,5,43,24,1189666,1858293,2018,07-09-2018 16:19,41.76619943,-87.58035967,"(41.766199432, -87.580359667)"
11366883,JB332018,07-02-2018 12:19,016XX W 21ST PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,TRUE,FALSE,1234,12,25,31,26,1165620,1889802,2018,07-09-2018 16:19,41.85320756,-87.66760202,"(41.85320756, -87.667602018)"
11366886,JB332031,07-02-2018 13:30,033XX W OGDEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,1024,10,24,29,08B,1154489,1891024,2018,07-09-2018 16:19,41.85679041,-87.70842407,"(41.856790413, -87.708424071)"
11366890,JB332029,07-02-2018 12:00,083XX S HOLLAND RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,622,6,21,44,08B,1175640,1849717,2018,07-09-2018 16:19,41.7429913,-87.63202582,"(41.742991296, -87.632025815)"
11366910,JB332056,07-02-2018 13:16,038XX W AUGUSTA BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1112,11,27,23,18,1150453,1906395,2018,07-09-2018 16:19,41.89904979,-87.72283718,"(41.899049791, -87.72283718)"
11366924,JB332008,07-02-2018 12:19,021XX N MOODY AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,TRUE,FALSE,2512,25,29,19,18,1135057,1913648,2018,07-09-2018 16:19,41.91923963,-87.77921492,"(41.919239633, -87.779214919)"
11366931,JB332039,07-02-2018 12:49,080XX S YALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,623,6,17,44,08B,1176011,1851739,2018,07-09-2018 16:19,41.74853161,-87.63060596,"(41.748531608, -87.630605959)"
